Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment,BlackIsComp,WhiteIsComp
FICS rated standard game,FICS freechess.org,2022.04.30,?,Indrayoga,Ripple,1-0,0:11:00.000,1979,55.2,B31,511547590,47,23:38:00,660+11,0:11:00.000,2062,40.8,53.6875,195.53333333333333,209.53571428571428,1.3629333333333333,1.8719333333333334,4.876199999999999,[%emt 9.418] Black checkmated,,
FICS rated standard game,FICS freechess.org,2022.04.30,?,Notarious,ArasanX,1/2-1/2,0:15:00.000,2778,37.2,C89,511547000,60,20:38:00,900+0,0:15:00.000,2810,36.6,54.95238095238095,40.8,8.210526315789474,0.12840000000000001,0.1434,2.8775789473684212,[%emt 21.905] Game drawn by mutual agreement,Yes,Yes
FICS rated standard game,FICS freechess.org,2022.04.30,?,fary,damouno,0-1,0:15:00.000,2293,49.3,A40,511546226,68,17:33:00,900+0,0:15:00.000,1831,65.6,37.95652173913044,-53.68181818181818,-143.73529411764707,0.6341818181818181,2.3201363636363634,1.5318181818181817,[%emt 1.528] White checkmated,,
FICS rated standard game,FICS freechess.org,2022.04.30,?,exeComp,Notarious,1/2-1/2,0:30:00.000,2813,36.7,C67,511546220,213,16:46:00,1800+0,0:30:00.000,2691,39.3,21.52777777777778,1.647887323943662,0.0,6.186042253521127,2.8662112676056335,0.6045,[%emt 0.1] Game drawn by the 50 move rule,Yes,Yes
FICS rated standard game,FICS freechess.org,2022.04.30,?,dmgrant,Speyside,1/2-1/2,0:30:00.000,2162,48.2,D31,511546118,76,17:01:00,1800+0,0:30:00.000,2148,99.7,-41.73076923076923,-117.2,199.6,1.86572,2.83956,2.97168,[%emt 27.619] Game drawn by repetition,Yes,
FICS rated standard game,FICS freechess.org,2022.04.30,?,GriffyJr,family,0-1,0:15:00.000,2015,38.7,D45,511545640,124,16:14:00,900+0,0:15:00.000,2060,30.5,17.928571428571427,-87.02439024390245,-524.2926829268292,0.26509756097560977,1.505048780487805,0.574,[%emt 5.682] White resigns,,Yes
FICS rated standard game,FICS freechess.org,2022.04.30,?,Speyside,Gargin,1-0,0:30:00.000,1907,77.2,D13,511545598,115,15:19:00,1800+0,0:30:00.000,2159,48.6,10.384615384615385,-319.2631578947368,-304.0,4.338499999999999,4.624578947368422,4.102947368421052,[%emt 2.224] Black forfeits on time,,Yes
FICS rated standard game,FICS freechess.org,2022.04.30,?,family,GriffyJr,1-0,0:15:00.000,2069,30.6,A46,511545581,107,16:07:00,900+0,0:15:00.000,2006,38.9,126.30555555555556,308.9142857142857,553.4142857142857,0.3338571428571428,0.9254857142857144,0.4026142857142857,[%emt 4.813] Black resigns,Yes,
FICS rated standard game,FICS freechess.org,2022.04.30,?,GriffyJr,family,1/2-1/2,0:15:00.000,2005,39.1,C00,511545529,198,15:55:00,900+0,0:15:00.000,2070,30.7,21.208955223880597,-47.196969696969695,83.64615384615385,0.4968333333333334,0.7060606060606062,0.7405999999999999,[%emt 7.11] Neither player has mating material,,Yes
FICS rated standard game,FICS freechess.org,2022.04.30,?,family,GriffyJr,0-1,0:15:00.000,2063,30.8,A46,511545435,58,15:51:00,900+0,0:15:00.000,2012,39.4,33.2,30.42105263157895,-386.2105263157895,0.3161052631578947,0.7059473684210527,0.6139999999999999,[%emt 0.1] White resigns,Yes,
FICS rated standard game,FICS freechess.org,2022.04.30,?,GriffyJr,family,0-1,0:15:00.000,2002,39.6,D94,511545399,92,15:44:00,900+0,0:15:00.000,2073,30.9,0.9354838709677419,-416.03333333333336,-672.1166666666667,0.6972999999999999,0.37173333333333336,0.5013666666666667,[%emt 18.945] White resigns,,Yes
FICS rated standard game,FICS freechess.org,2022.04.30,?,KrystianSz,pingupenguin,0-1,0:45:00.000,2054,58.7,B08,511545371,86,13:31:00,2700+45,0:45:00.000,2006,71.8,76.3103448275862,7.071428571428571,-640.3392857142858,14.831571428571428,24.46275,6.493910714285715,[%emt 9.851] White resigns,,
FICS rated standard game,FICS freechess.org,2022.04.30,?,family,GriffyJr,0-1,0:15:00.000,2066,31.1,A46,511545357,132,15:36:00,900+0,0:15:00.000,2009,39.9,15.422222222222222,29.90909090909091,-350.46153846153845,0.3910227272727273,0.7618636363636365,0.4111627906976744,[%emt 0.109] White checkmated,Yes,
FICS rated standard game,FICS freechess.org,2022.04.30,?,GriffyJr,family,1-0,0:15:00.000,2016,40.1,C00,511545303,71,15:31:00,900+0,0:15:00.000,2059,31.2,27.416666666666668,107.08695652173913,612.4782608695652,0.4146956521739131,1.3030000000000002,0.7451739130434782,[%emt 0.1] Black resigns,,Yes
FICS rated standard game,FICS freechess.org,2022.04.30,?,gerichan,IFDThor,1-0,1:30:00.000,2142,42.0,B22,511545293,67,15:26:00,5400+90,1:30:00.000,2006,38.0,75.78260869565217,256.6363636363636,653.9090909090909,1.0104545454545457,1.1774545454545455,0.8397727272727277,[%emt 13.848] Black resigns,Yes,
FICS rated standard game,FICS freechess.org,2022.04.30,?,family,GriffyJr,1-0,0:15:00.000,2068,31.3,A46,511545274,83,15:26:00,900+0,0:15:00.000,2007,40.4,42.107142857142854,235.5185185185185,593.5555555555555,1.051037037037037,0.7955555555555556,0.2676851851851852,[%emt 9.522] Black resigns,Yes,
FICS rated standard game,FICS freechess.org,2022.04.30,?,floare,nembro,1-0,0:30:00.000,1961,247.7,B95,511545120,53,14:51:00,1800+0,0:30:00.000,2039,39.2,28.833333333333332,-66.82352941176471,306.2352941176471,1.3214117647058825,3.7495882352941172,1.5318823529411763,[%emt 44.077] Black resigns,,
FICS rated standard game,FICS freechess.org,2022.04.30,?,Olexandr,MAXCINCOG,1-0,0:15:00.000,2215,158.5,A00,511545082,0,15:00:00,900+15,0:15:00.000,1852,44.1,,,,,,,Black resigns,,
FICS rated standard game,FICS freechess.org,2022.04.30,?,MAXCINCOG,Olexandr,1-0,0:15:00.000,1854,44.2,D02,511545079,45,14:35:00,900+15,0:15:00.000,2195,165.4,66.9375,292.6,601.3571428571429,3.310466666666666,5.0388,2.398214285714286,[%emt 29.348] Black resigns,,
