Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteIsComp,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment,BlackIsComp
FICS rated standard game,FICS freechess.org,2022.08.31,?,exeComp,Reverand,1-0,0:15:00.000,1617,262.5,A41,512415760,31,23:05:00,900+5,0:15:00.000,2719,Yes,42.8,242.54545454545453,722.4,935.3333333333334,2.161,1.9254000000000002,3.8482999999999996,[%emt 0.1] Black checkmated,
FICS rated standard game,FICS freechess.org,2022.08.31,?,ArasanX,exeComp,1/2-1/2,0:15:00.000,2720,42.8,E03,512415673,305,21:53:00,900+5,0:15:00.000,2696,Yes,41.7,13.901960784313726,-0.019801980198019802,-400.7524752475247,3.392445544554455,1.2684851485148516,0.3869455445544555,[%emt 6.92] Game drawn by mutual agreement,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Limbor,kamenozrout,1/2-1/2,0:15:00.000,2149,42.7,A30,512415611,122,22:08:00,900+0,0:15:00.000,1894,,36.3,145.21951219512195,418.6,60.4125,2.48755,3.0407249999999997,0.6641750000000001,[%emt 8.759] Neither player has mating material,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,exeComp,ArasanX,1/2-1/2,0:15:00.000,2695,42.0,B90,512415468,121,21:14:00,900+5,0:15:00.000,2721,Yes,43.1,32.24390243902439,-3.675,24.1,4.308375,3.9250999999999996,2.1653,[%emt 0.1] Neither player has mating material,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,pikozrout,Limbor,1-0,0:15:00.000,1912,37.1,B06,512415413,25,21:30:00,900+0,0:15:00.000,2210,Yes,56.1,52.666666666666664,40.375,168.625,0.19624999999999998,1.155375,2.61575,[%emt 30.606] Black resigns,
FICS rated standard game,FICS freechess.org,2022.08.31,?,Limbor,pikozrout,0-1,0:15:00.000,2207,56.5,D34,512415398,46,21:22:00,900+0,0:15:00.000,1915,,37.2,28.0,8.266666666666667,-66.0,0.23200000000000004,1.2874666666666668,2.289733333333333,[%emt 14.881] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,pikozrout,Limbor,1-0,0:15:00.000,1918,37.3,A40,512415365,81,21:08:00,900+0,0:15:00.000,2204,Yes,56.9,46.142857142857146,7.074074074074074,393.6923076923077,1.4506666666666665,2.487111111111111,2.3015769230769227,[%emt 15.198] Black resigns,
FICS rated standard game,FICS freechess.org,2022.08.31,?,MFajri,exeComp,0-1,0:15:00.000,2721,43.4,B80,512415305,22,21:01:00,900+5,0:15:00.000,1592,,149.2,31.0,32.857142857142854,47.42857142857143,0.23114285714285712,0.3627142857142857,1.7808571428571427,[%emt 23.168] White forfeits by disconnection,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,exeComp,MFajri,1-0,0:15:00.000,1592,149.3,D35,512415255,12,20:52:00,900+5,0:15:00.000,2721,Yes,43.4,31.4,25.75,33.0,0.07425000000000001,1.4209999999999998,0.09200000000000001,[%emt 11.031] Black forfeits by disconnection,
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2200,35.1,B21,512415240,34,20:51:00,900+0,0:15:00.000,1882,,28.4,-45.916666666666664,-354.09090909090907,-634.6666666666666,0.1809090909090909,0.2744545454545455,0.39554545454545453,[%emt 0.1] White checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2198,35.2,B21,512415235,58,20:49:00,900+0,0:15:00.000,1884,,28.5,-12.95,-103.3157894736842,-330.1578947368421,0.2451052631578947,0.39415789473684204,0.5654210526315788,[%emt 0.1] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2196,35.2,B12,512415228,68,20:47:00,900+0,0:15:00.000,1886,,28.5,93.0,-70.5,-115.78571428571429,0.24009090909090905,0.19609090909090907,0.46649999999999997,[%emt 0.1] White checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2194,35.3,D00,512415220,64,20:45:00,900+0,0:15:00.000,1888,,28.6,20.5,162.42857142857142,-142.14285714285714,0.32461904761904764,0.2818571428571428,0.2641904761904761,[%emt 0.1] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2192,35.4,B12,512415209,70,20:43:00,900+0,0:15:00.000,1890,,28.6,22.541666666666668,-105.69565217391305,-427.6521739130435,0.2660869565217391,0.49986956521739123,0.6664782608695653,[%emt 0.1] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2190,35.5,B12,512415202,50,20:41:00,900+0,0:15:00.000,1892,,28.7,7.411764705882353,101.125,-630.28125,0.20187499999999997,0.40187500000000004,0.6229687500000001,[%emt 0.1] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2187,35.6,B21,512415195,40,20:40:00,900+0,0:15:00.000,1895,,28.7,-48.5,-178.3846153846154,-263.15384615384613,0.2093076923076923,0.31223076923076926,0.2523076923076923,[%emt 0.1] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2184,35.7,B21,512415189,38,20:38:00,900+0,0:15:00.000,1898,,28.8,-59.07692307692308,-326.75,-724.6666666666667,0.2615,0.3095,0.2655833333333333,[%emt 0.1] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2181,35.8,B21,512415183,44,20:37:00,900+0,0:15:00.000,1901,,28.8,-106.6,-607.0,-873.25,0.2785714285714286,0.2606428571428572,0.42574999999999996,[%emt 0.1] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2178,35.9,B12,512415179,48,20:36:00,900+0,0:15:00.000,1904,,28.9,42.1764705882353,-380.5625,-496.9230769230769,0.3509375,0.2325625,0.3456,[%emt 0.1] White checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,1-0,0:15:00.000,2192,36.0,B12,512415172,53,20:34:00,900+0,0:15:00.000,1890,,28.9,81.66666666666667,399.7647058823529,448.5833333333333,0.3261764705882353,0.2966470588235294,0.22364705882352937,[%emt 1.48] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2190,36.1,B21,512415165,58,20:32:00,900+0,0:15:00.000,1892,,29.0,-76.7,-203.1578947368421,-472.1111111111111,0.3073157894736841,0.24899999999999994,0.28778947368421054,[%emt 0.1] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,ArasanX,exeComp,1/2-1/2,0:15:00.000,2722,43.4,E97,512415163,233,19:45:00,900+5,0:15:00.000,2694,Yes,42.2,28.53846153846154,9.363636363636363,-157.16233766233765,4.001493506493507,2.9291818181818177,0.4267987012987013,[%emt 0.245] Game drawn by mutual agreement,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2187,36.2,A50,512415155,44,20:31:00,900+0,0:15:00.000,1895,,29.0,40.46666666666667,78.35714285714286,-145.1153846153846,0.30278571428571427,0.20221428571428574,0.6170357142857142,[%emt 0.1] White checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2184,36.3,B21,512415151,46,20:29:00,900+0,0:15:00.000,1898,,29.1,20.0,133.26666666666668,-85.84615384615384,0.28833333333333333,0.2690666666666667,0.6791333333333333,[%emt 0.1] White checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2181,36.4,B12,512415141,72,20:27:00,900+0,0:15:00.000,1901,,29.1,43.6,143.25,-422.94736842105266,0.29774999999999996,0.46662500000000007,0.5405652173913044,[%emt 0.1] White checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,1-0,0:15:00.000,2195,36.5,B12,512415126,101,20:21:00,900+0,0:15:00.000,1887,,29.2,188.2058823529412,562.2727272727273,480.4375,0.30118181818181816,0.34415151515151515,0.3157878787878788,[%emt 2.292] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2193,36.6,B15,512415105,44,20:20:00,900+0,0:15:00.000,1889,,29.2,23.466666666666665,100.28571428571429,-360.5357142857143,0.1995,0.35321428571428576,0.37732142857142853,[%emt 0.1] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2191,36.7,D00,512415096,38,20:19:00,900+0,0:15:00.000,1891,,29.3,9.153846153846153,-55.0,-226.83333333333334,0.18366666666666667,0.2044166666666667,0.2504166666666667,[%emt 0.1] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,Aromas,IFDThor,0-1,0:15:00.000,2189,36.8,B10,512415089,24,20:18:00,900+0,0:15:00.000,1893,,29.3,-74.88888888888889,-380.25,-512.4285714285714,0.320875,0.27449999999999997,0.2751428571428572,[%emt 0.1] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,GoldBarMM,ulfish,1/2-1/2,0:25:00.000,2551,119.2,C67,512414407,172,17:11:00,1500+2,0:25:00.000,2790,Yes,72.0,24.82758620689655,-29.17543859649123,0.21052631578947367,3.0270701754385962,3.50759649122807,1.719017543859649,[%emt 7.223] Neither player has mating material,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,hastrman,Achonk,1-0,0:15:00.000,2096,41.1,B32,512414250,61,17:20:00,900+0,0:15:00.000,2003,Yes,28.9,9.857142857142858,100.0,246.4375,2.02885,3.3960999999999997,2.7377999999999996,[%emt 3.26] Black checkmated,
FICS rated standard game,FICS freechess.org,2022.08.31,?,ulfish,GoldBarMM,1/2-1/2,0:25:00.000,2799,72.9,A00,512414111,124,16:28:00,1500+2,0:25:00.000,2523,Yes,123.8,16.428571428571427,-31.073170731707318,-16.536585365853657,2.963073170731707,3.636536585365854,2.674585365853659,[%emt 9.92] Game drawn by repetition,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,GoldBarMM,ulfish,1/2-1/2,0:25:00.000,2490,128.4,C68,512413860,36,16:13:00,1500+2,0:25:00.000,2809,Yes,73.8,39.84615384615385,0.3333333333333333,-5.909090909090909,2.54625,8.906666666666665,3.2770000000000006,[%emt 34.586] Game drawn by repetition,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,ulfish,GoldBarMM,1/2-1/2,0:25:00.000,2820,74.5,A22,512413755,163,15:24:00,1500+2,0:25:00.000,2452,Yes,132.6,-2.4727272727272727,-1.4444444444444444,-1.7407407407407407,3.1179074074074085,3.8666666666666663,2.733981481481482,[%emt 9.534] Neither player has mating material,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,family,kamenozrout,0-1,0:15:00.000,2143,42.8,A81,512413516,56,15:20:00,900+0,0:15:00.000,2021,,50.9,65.26315789473684,-42.22222222222222,-183.03333333333333,0.9338333333333334,3.3501666666666665,1.1440277777777779,[%emt 1.331] White checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,alextheseaman,blore,1/2-1/2,0:15:00.000,2120,20.5,A46,512413198,124,13:30:00,900+0,0:15:00.000,2092,,26.9,12.666666666666666,-34.073170731707314,-16.024390243902438,1.3048048780487802,1.8159268292682929,2.517926829268293,[%emt 2.74] Game drawn by mutual agreement,
FICS rated standard game,FICS freechess.org,2022.08.31,?,lalison,blore,1-0,0:15:00.000,2123,20.6,C55,512412978,89,13:45:00,900+0,0:15:00.000,1891,,43.8,11.0,120.51724137931035,442.7068965517241,1.0164827586206895,2.343896551724138,2.700362068965517,[%emt 1.812] Black resigns,
FICS rated standard game,FICS freechess.org,2022.08.31,?,lalison,blore,0-1,0:15:00.000,2120,20.6,C47,512412796,34,13:33:00,900+0,0:15:00.000,1894,,44.0,23.833333333333332,-38.63636363636363,-148.72727272727272,0.376,0.6254545454545454,1.5452727272727274,[%emt 2.563] White resigns,
FICS rated standard game,FICS freechess.org,2022.08.31,?,blore,alextheseaman,0-1,0:15:00.000,2083,27.0,D35,512412741,72,13:13:00,900+0,0:15:00.000,2129,,20.7,23.6,-21.166666666666668,-175.95652173913044,0.6088333333333332,2.6189583333333335,1.3913478260869567,[%emt 12.147] White resigns,
FICS rated standard game,FICS freechess.org,2022.08.31,?,MichailovA,kunde,0-1,0:15:00.000,2045,35.6,D02,512411806,76,10:53:00,900+0,0:15:00.000,2169,,98.9,30.53846153846154,-22.68,-279.14,0.54804,2.41448,1.7021999999999997,[%emt 2.235] White resigns,
FICS rated standard game,FICS freechess.org,2022.08.31,?,Achonk,scalaQueen,1-0,0:15:00.000,1940,26.2,A00,512411646,101,10:22:00,900+0,0:15:00.000,2091,,41.2,72.55882352941177,258.57575757575756,301.125,1.7484242424242424,2.2093939393939395,0.5085,[%emt 8.904] Black checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.08.31,?,blore,kunde,1-0,0:15:00.000,2051,35.7,C41,512411631,29,10:33:00,900+0,0:15:00.000,2119,,20.8,48.7,13.444444444444445,453.77777777777777,0.5222222222222223,1.1488888888888888,1.211111111111111,[%emt 5.441] Black resigns,
FICS rated standard game,FICS freechess.org,2022.08.31,?,blore,MichaelOgbeide,1/2-1/2,0:15:00.000,2125,37.1,C01,512411475,119,09:47:00,900+0,0:15:00.000,2119,,20.9,71.9,132.87179487179486,4.128205128205129,0.9514615384615385,2.395871794871795,0.8744102564102563,[%emt 9.313] Game drawn by mutual agreement,
FICS rated standard game,FICS freechess.org,2022.08.31,?,vandi,blore,0-1,0:15:00.000,2115,20.9,B86,512411309,69,09:23:00,900+0,0:15:00.000,1900,,36.9,34.083333333333336,-153.95652173913044,-567.0,0.39821739130434786,3.4003043478260873,2.725227272727272,[%emt 3.006] White resigns,
