Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackIsComp,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteIsComp,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment
FICS rated standard game,FICS freechess.org,2023.02.28,?,ArasanX,Notarious,1/2-1/2,0:15:00.000,2874,Yes,37.2,B10,530376668,39,23:21:00,900+0,0:15:00.000,2780,Yes,34.7,15.571428571428571,-7.461538461538462,5.416666666666667,0.12630769230769234,3.12,3.2526666666666664,[%emt 0.137] Game drawn by mutual agreement
FICS rated standard game,FICS freechess.org,2023.02.28,?,Notarious,ArasanX,1-0,0:15:00.000,2786,Yes,34.8,D79,530376382,139,21:25:00,900+0,0:15:00.000,2868,Yes,37.4,30.340425531914892,46.91304347826087,104.08695652173913,2.3139565217391302,3.3528260869565214,0.7533478260869567,[%emt 3.227] Black resigns
FICS rated standard game,FICS freechess.org,2023.02.28,?,exeComp,ArasanX,0-1,0:16:00.000,2780,Yes,34.9,A17,530375680,274,17:32:00,960+3,0:16:00.000,2711,Yes,37.9,59.73913043478261,58.18681318681319,-216.55172413793105,3.5527252747252747,0.891087912087912,0.43003296703296706,[%emt 0.1] White resigns
FICS rated standard game,FICS freechess.org,2023.02.28,?,nthmaster,Speyside,1-0,0:15:00.000,2202,Yes,45.1,D27,530375325,169,16:42:00,900+0,0:15:00.000,2135,,40.3,201.56140350877192,500.69642857142856,991.9756097560976,2.761375,1.9955535714285715,0.2775892857142857,[%emt 1.813] Black checkmated
FICS rated standard game,FICS freechess.org,2023.02.28,?,GriffyJr,family,0-1,0:15:00.000,2019,,48.5,C01,530374794,162,15:34:00,900+0,0:15:00.000,2028,Yes,37.3,7.0,-108.16666666666667,-410.11538461538464,0.6090740740740742,0.589,0.43609433962264155,[%emt 5.239] White resigns
FICS rated standard game,FICS freechess.org,2023.02.28,?,rodnojo,MichaelOgbeide,1/2-1/2,0:15:00.000,2176,,34.0,C00,530374765,82,15:12:00,900+0,0:15:00.000,1970,,28.8,30.035714285714285,34.81481481481482,-39.925925925925924,1.3736666666666666,3.5247777777777776,1.4408148148148148,[%emt 4.033] Game drawn by repetition
FICS rated standard game,FICS freechess.org,2023.02.28,?,kristijanZD,ambchss,1-0,0:15:00.000,1854,,72.9,D02,530374725,31,15:18:00,900+5,0:15:00.000,2223,,40.4,32.09090909090909,88.6,234.0,1.5847999999999998,0.46510000000000007,14.485800000000001,[%emt 6.891] Black resigns
FICS rated standard game,FICS freechess.org,2023.02.28,?,Ismirdochegal,khans,1-0,0:20:00.000,1915,,47.8,A01,530374658,81,14:43:00,1200+15,0:20:00.000,2265,,73.1,-31.214285714285715,-36.77777777777778,7.6923076923076925,6.412814814814816,8.053259259259258,2.9943461538461538,[%emt 9.551] Black forfeits on time
FICS rated standard game,FICS freechess.org,2023.02.20,?,MichaelOgbeide,rodnojo,1-0,0:15:00.000,2029,,28.9,E87,530374586,113,15:04:00,900+0,0:15:00.000,2092,,34.1,102.8157894736842,18.56756756756757,416.7162162162162,1.351918918918919,2.9945135135135135,0.6855,[%emt 1.98] Black resigns
FICS rated standard game,FICS freechess.org,2023.02.28,?,Ismirdochegal,mcstorytaller,0-1,0:15:00.000,1919,,32.4,A01,530374394,50,14:34:00,900+5,0:15:00.000,2293,,73.8,-1.1764705882352942,51.625,49.2,1.7179375000000001,0.9838125,2.0284999999999997,[%emt 8.258] White resigns
