Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteIsComp,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment,BlackIsComp
FICS rated blitz game,FICS freechess.org,2023.01.31,?,konozrout,Geforce,1/2-1/2,0:05:00.000,1957,15.9,B00,530203389,55,23:27:00,300+0,0:05:00.000,2060,Yes,27.4,98.52631578947368,117.05555555555556,-186.27777777777777,0.4607777777777778,0.8961666666666667,1.133888888888889,[%emt 5.301] Game drawn by repetition,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,Geforce,pikozrout,1/2-1/2,0:05:00.000,2137,39.5,B40,530203352,69,23:17:00,300+0,0:05:00.000,1951,,15.9,-52.958333333333336,235.47826086956522,484.09090909090907,0.46508695652173915,0.4903478260869565,0.8507727272727273,[%emt 6.5] Game drawn by mutual agreement,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,Geforce,konozrout,0-1,0:05:00.000,2054,27.5,B52,530203324,134,23:03:00,300+0,0:05:00.000,1957,,15.9,-71.08888888888889,-192.3409090909091,-262.72727272727275,0.48104545454545455,0.5538636363636364,0.31729545454545455,[%emt 1.768] White forfeits on time,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,GimmeDatKing,Frubes,1-0,0:05:00.000,1796,49.4,B90,530203266,55,22:43:00,300+0,0:05:00.000,2292,,74.1,60.578947368421055,246.22222222222223,367.1111111111111,0.8821666666666667,1.1499444444444444,1.7619999999999998,[%emt 0.82] Black resigns,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,playoften,GimmeDatKing,0-1,0:05:00.000,2290,74.5,A04,530203175,42,22:22:00,300+0,0:05:00.000,1826,,24.8,43.86666666666667,-18.571428571428573,-105.3076923076923,0.39678571428571424,0.5467142857142858,1.3216923076923075,[%emt 4.429] White resigns,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,AsDaGo,GimmeDatKing,0-1,0:05:00.000,2288,74.9,A87,530203157,44,22:16:00,300+0,0:05:00.000,1824,,34.0,68.33333333333333,64.5,-460.8928571428571,0.5535,1.0864285714285715,1.3547857142857143,[%emt 2.785] White resigns,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,pikozrout,Geforce,1-0,0:05:00.000,1955,16.0,A12,530203129,173,22:04:00,300+0,0:05:00.000,2133,Yes,39.7,105.87931034482759,21.54385964912281,15.219298245614034,0.6972807017543858,0.5834561403508771,0.47076315789473683,[%emt 1.716] Black forfeits on time,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,GimmeDatKing,cavebird,1-0,0:05:00.000,1779,38.2,A10,530203111,59,22:00:00,300+0,0:05:00.000,2286,,75.4,5.65,49.578947368421055,467.02631578947364,1.029,1.6123157894736841,1.1059736842105263,[%emt 0.642] Black resigns,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,konozrout,Geforce,1/2-1/2,0:05:00.000,1959,16.0,C28,530203014,92,21:31:00,300+0,0:05:00.000,2056,Yes,27.5,-39.25806451612903,-8.666666666666666,-340.8833333333333,0.7806333333333332,1.1007666666666667,0.7535999999999999,[%emt 4.611] Game drawn by mutual agreement,
FICS unrated blitz game,FICS freechess.org,2023.01.31,?,exeComp,MORSAL,1/2-1/2,0:03:00.000,3026,125.8,C84,530202701,129,19:46:00,180+2,0:03:00.000,2597,Yes,74.8,20.977272727272727,3.7209302325581395,-2.857142857142857,0.7370697674418604,0.9023255813953486,0.5608571428571428,[%emt 2.032] Neither player has mating material,Yes
FICS unrated blitz game,FICS freechess.org,2023.01.31,?,MORSAL,exeComp,1/2-1/2,0:03:00.000,2597,74.8,C50,530202660,217,19:32:00,180+2,0:03:00.000,3026,Yes,125.8,23.78082191780822,32.958333333333336,0.5,1.3912083333333332,0.6255833333333334,0.4428888888888889,[%emt 3.317] Neither player has mating material,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,konozrout,sparse,0-1,0:05:00.000,2006,31.4,E11,530202406,68,18:38:00,300+0,0:05:00.000,2065,Yes,27.4,23.82608695652174,-351.0,-312.8333333333333,0.4796363636363637,1.0313636363636363,0.3797272727272727,[%emt 5.436] White checkmated,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,IFDThor,foggydew,0-1,0:05:00.000,2021,30.4,A58,530201833,78,16:55:00,300+5,0:05:00.000,1986,Yes,23.9,37.407407407407405,-223.03846153846155,-298.375,1.7353846153846155,1.2492692307692308,0.31684,[%emt 1.308] White checkmated,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,foggydew,konozrout,1-0,0:05:00.000,2074,27.4,D00,530201332,109,15:27:00,300+5,0:05:00.000,2012,Yes,30.5,-20.405405405405407,197.69444444444446,412.77777777777777,2.508861111111111,0.9347222222222222,1.018972222222222,[%emt 4.809] Black resigns,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,ChessRotull,chesspickle,1/2-1/2,0:05:00.000,2001,26.2,D00,530201079,131,14:48:00,300+0,0:05:00.000,2081,,38.2,33.97727272727273,102.23255813953489,-2.686046511627907,0.6746046511627907,0.5982558139534884,0.41279069767441856,[%emt 0.809] Neither player has mating material,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,leevorotation,ChessRotull,1-0,0:03:00.000,2093,38.5,B20,530201001,137,14:36:00,180+0,0:03:00.000,1925,,31.3,-175.3695652173913,-545.9555555555555,-677.7222222222222,0.4426222222222222,0.44300000000000006,0.4311333333333333,[%emt 4.335] Black forfeits by disconnection,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,ChessRotull,leevorotation,1-0,0:03:00.000,1930,31.4,A22,530200935,81,14:30:00,180+0,0:03:00.000,2088,,38.7,19.642857142857142,57.888888888888886,94.6923076923077,0.5594444444444445,0.9613333333333332,0.40376923076923077,[%emt 1.803] Black resigns,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,ArasanX,scalaQueen,1-0,0:05:00.000,1935,18.2,D86,530200686,37,13:59:00,300+0,0:05:00.000,2680,Yes,30.6,28.0,96.66666666666667,346.6666666666667,0.10050000000000002,0.6884999999999999,1.5120000000000002,[%emt 0.1] Black checkmated,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,IFDStock,ArasanX,1/2-1/2,0:05:00.000,2685,30.6,A00,530200116,121,12:20:00,300+1,0:05:00.000,2404,Yes,42.6,-24.463414634146343,-3.725,0.225,1.066775,0.6237,0.5977750000000001,[%emt 1.015] Neither player has mating material,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,ArasanX,IFDStock,1-0,0:05:00.000,2407,42.7,B07,530200043,130,12:07:00,300+1,0:05:00.000,2682,Yes,30.6,97.68181818181819,205.51162790697674,321.6744186046512,0.912139534883721,0.5473023255813955,0.49993023255813945,[%emt 8.471] Black resigns,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,macKari,Lahrsen,0-1,0:03:00.000,1977,21.7,B92,530199812,58,11:33:00,180+0,0:03:00.000,2073,,59.1,35.65,-37.78947368421053,-235.6315789473684,0.9056842105263159,0.8768421052631579,1.0279473684210525,[%emt 0.1] White forfeits on time,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,Notarious,megielszmergiel,1-0,0:05:00.000,2787,35.8,C65,530199731,157,11:17:00,300+0,0:05:00.000,2791,Yes,34.3,16.245283018867923,34.26923076923077,64.73076923076923,0.7565961538461539,0.7781153846153845,0.34334615384615397,[%emt 0.1] Black forfeits on time,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,IFDStock,Notarious,1/2-1/2,0:05:00.000,2798,34.5,E05,530199663,102,11:08:00,300+0,0:05:00.000,2400,Yes,42.9,20.0,-12.147058823529411,0.0,1.028823529411765,0.550264705882353,0.8415151515151515,[%emt 1.033] Game drawn by repetition,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,Tevs,OmaBrigitte,0-1,0:03:00.000,2160,30.3,A05,530199656,88,11:06:00,180+0,0:03:00.000,1921,,24.4,1.1666666666666667,-66.58620689655173,8.96551724137931,0.44003448275862067,1.2114137931034483,0.5366551724137932,[%emt 0.435] White forfeits on time,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,Notarious,ArasanX,1-0,0:05:00.000,2688,30.7,C65,530199498,77,10:38:00,300+0,0:05:00.000,2792,Yes,34.5,4.384615384615385,-22.44,169.36,0.13556,1.5067199999999996,0.40481999999999996,[%emt 0.803] Black resigns,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,konozrout,Geforce,1-0,0:05:00.000,1979,15.5,B00,530199488,47,10:38:00,300+0,0:05:00.000,2065,Yes,27.4,76.625,101.4,23.6,0.9924666666666667,1.887333333333333,0.8982666666666668,[%emt 0.263] Black resigns,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,ArasanX,Notarious,1/2-1/2,0:05:00.000,2794,34.7,C45,530199455,94,10:30:00,300+0,0:05:00.000,2686,Yes,30.8,21.15625,-19.516129032258064,-3.838709677419355,1.3333870967741936,0.3830322580645161,1.0657741935483869,[%emt 12.195] Game drawn by repetition,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,Geforce,Speyside,0-1,0:05:00.000,2017,23.1,B30,530199438,68,10:26:00,300+0,0:05:00.000,1986,,15.5,7.6521739130434785,183.77272727272728,179.86363636363637,0.5457727272727272,1.0172272727272729,1.2854090909090907,[%emt 1.931] White forfeits on time,Yes
FICS unrated blitz game,FICS freechess.org,2023.01.31,?,MORSAL,IFDStock,1-0,0:03:00.000,2400,42.7,B00,530199415,100,10:25:00,180+2,0:03:00.000,3026,Yes,125.8,154.47058823529412,244.66666666666666,342.3333333333333,0.9233030303030303,0.5656969696969697,0.4663030303030302,[%emt 2.058] Black resigns,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,Notarious,ArasanX,1/2-1/2,0:05:00.000,2683,30.9,B12,530199394,107,10:18:00,300+0,0:05:00.000,2797,Yes,34.8,42.27777777777778,80.17142857142858,5.285714285714286,1.3251142857142855,0.6790571428571427,0.3434857142857143,[%emt 2.952] Game drawn by repetition,Yes
FICS unrated blitz game,FICS freechess.org,2023.01.31,?,IFDStock,MORSAL,0-1,0:03:00.000,3026,125.8,A02,530199386,127,10:18:00,180+2,0:03:00.000,2400,Yes,42.7,-41.86046511627907,-137.6904761904762,-253.64285714285714,0.9740000000000002,0.4965952380952381,0.5183095238095238,[%emt 7.811] White resigns,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,pikozrout,Geforce,1-0,0:05:00.000,1991,15.5,C30,530199161,63,09:35:00,300+0,0:05:00.000,2128,Yes,39.5,39.77272727272727,3.6666666666666665,188.05,0.578047619047619,0.922142857142857,0.9660499999999997,[%emt 0.258] Black forfeits on time,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,Geforce,konozrout,1-0,0:05:00.000,2075,27.4,B40,530199079,57,09:17:00,300+0,0:05:00.000,1981,,15.5,17.5,-6.684210526315789,-259.0,0.44489473684210523,0.6446842105263157,0.6877222222222222,[%emt 1.107] Black checkmated,Yes
FICS rated blitz game,FICS freechess.org,2023.01.31,?,konozrout,Geforce,1-0,0:05:00.000,1987,15.5,C41,530199053,61,09:08:00,300+0,0:05:00.000,2069,Yes,27.5,25.047619047619047,118.1,302.55,0.38964999999999994,1.1635500000000003,1.60535,[%emt 0.303] Black forfeits on time,
FICS rated blitz game,FICS freechess.org,2023.01.31,?,Speyside,SEPry,0-1,0:02:00.000,2008,71.1,B01,530198894,118,08:18:00,120+12,0:02:00.000,2025,Yes,23.0,-42.875,-304.2307692307692,-879.6551724137931,3.60797435897436,3.8692051282051274,2.362410256410256,[%emt 1.713] White checkmated,
