Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackIsComp,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment,WhiteIsComp
FICS rated standard game,FICS freechess.org,2022.06.30,?,Technetium,pikozrout,1-0,0:15:00.000,2201,Yes,51.8,C42,511982372,53,21:12:00,900+0,0:15:00.000,2333,105.8,8.166666666666666,112.58823529411765,589.6470588235294,0.5398823529411765,2.816764705882353,1.4417647058823528,[%emt 4.556] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.30,?,Betin,Aromas,1/2-1/2,0:15:00.000,2014,,32.8,D02,511982317,152,20:36:00,900+0,0:15:00.000,1992,32.6,82.80392156862744,202.3,221.14,1.51202,1.6247999999999998,0.84775,[%emt 1.01] Neither player has mating material,
FICS rated standard game,FICS freechess.org,2022.06.30,?,KnightMeKing,Boobyslegacy,1-0,0:15:00.000,2082,,38.5,A02,511982166,37,20:16:00,900+0,0:15:00.000,2030,33.0,11.307692307692308,-33.5,-95.83333333333333,0.2729166666666667,0.6389166666666667,1.9825,[%emt 5.938] Black forfeits by disconnection,
FICS rated standard game,FICS freechess.org,2022.06.30,?,Speyside,Indrayoga,1-0,0:30:00.000,2110,,40.8,D00,511981986,9,19:20:00,1800+0,0:30:00.000,2172,58.4,14.0,1.3333333333333333,27.5,0.03333333333333333,0.3243333333333333,0.255,[%emt 0.1] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.06.30,?,mcstorytaller,axeltiger,0-1,0:15:00.000,2364,,90.1,B22,511981556,59,17:57:00,900+5,0:15:00.000,1887,30.7,-25.65,-284.10526315789474,-613.1842105263158,1.4470526315789474,1.7404736842105264,0.9310789473684211,[%emt 1.761] White resigns,
FICS rated standard game,FICS freechess.org,2022.06.30,?,axeltiger,mcstorytaller,1-0,0:15:00.000,1888,,30.7,B90,511981494,65,17:38:00,900+5,0:15:00.000,2361,90.8,56.5,35.42857142857143,48.214285714285715,0.4360476190476191,1.957285714285714,4.138142857142857,[%emt 0.931] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.30,?,NikolaSubicZrinj,pikozrout,1-0,0:15:00.000,2206,Yes,52.2,E17,511981079,71,16:46:00,900+0,0:15:00.000,2392,204.4,71.75,194.7391304347826,735.695652173913,1.828086956521739,2.8760869565217395,1.2911304347826087,[%emt 4.97] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.30,?,family,GriffyJr,0-1,0:15:00.000,2127,Yes,38.3,A46,511980618,76,15:51:00,900+0,0:15:00.000,2076,47.1,37.5,28.68,-109.0,0.29795999999999995,0.62344,0.81356,[%emt 0.1] White checkmated,
FICS rated standard game,FICS freechess.org,2022.06.30,?,SunriseSearch,rodnojo,1-0,0:15:00.000,1961,,69.7,B30,511980608,85,15:40:00,900+0,0:15:00.000,2040,89.7,9.10344827586207,-73.25,102.39285714285714,1.6548214285714287,1.2300357142857141,1.848035714285714,[%emt 11.645] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.30,?,Aromas,damouno,0-1,0:15:00.000,2256,,47.5,B28,511980575,70,15:26:00,900+0,0:15:00.000,2017,32.8,9.458333333333334,-173.43478260869566,-167.89473684210526,0.9368695652173914,2.3195217391304346,4.186956521739131,[%emt 0.465] White resigns,
FICS unrated standard game,FICS freechess.org,2022.06.30,?,GMCaruana,GMDing,0-1,2:00:00.000,2791,,350.0,C88,511980526,156,09:02:00,7200+0,2:00:00.000,2823,350.0,23.20754716981132,72.92307692307692,-124.7843137254902,20.229384615384618,25.49923076923077,12.907098039215688,[%emt 56.033] White resigns,
FICS unrated standard game,FICS freechess.org,2022.06.30,?,GMRadjabov,GMDuda,1/2-1/2,2:00:00.000,2743,,350.0,A13,511980525,66,09:01:00,7200+0,2:00:00.000,2765,350.0,27.565217391304348,8.5,0.09523809523809523,10.37059090909091,21.81131818181818,4.592809523809523,[%emt 3.91] Game drawn by mutual agreement,
FICS unrated standard game,FICS freechess.org,2022.06.30,?,GMAlirezaFirouzja,GMNepomniachtchi,0-1,2:00:00.000,2789,,350.0,C42,511980524,70,09:01:00,7200+0,2:00:00.000,2749,350.0,30.583333333333332,-93.95652173913044,-228.08695652173913,7.101956521739133,49.23847826086957,21.393173913043476,[%emt 57.244] White resigns,
FICS unrated standard game,FICS freechess.org,2022.06.30,?,GMNakamura,GMRapport,1/2-1/2,2:00:00.000,2763,,350.0,B33,511980149,191,09:01:00,7200+0,2:00:00.000,2736,350.0,15.984375,22.333333333333332,3.6587301587301586,23.107904761904763,19.151777777777777,3.9157063492063493,[%emt 2.332] Neither player has mating material,
