Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackIsComp,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteIsComp,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment
FICS rated standard game,FICS freechess.org,2022.03.31,?,Notarious,ArasanX,1/2-1/2,0:15:00.000,2771,Yes,0.0,B90,511135128,170,23:11:00,900+0,0:15:00.000,2830,Yes,0.0,29.57894736842105,10.214285714285714,-1.2589285714285714,2.032142857142857,1.9600535714285716,0.6707857142857143,[%emt 0.156] Neither player has mating material
FICS rated standard game,FICS freechess.org,2022.03.31,?,loomba,jaromsal,0-1,0:15:00.000,2089,,0.0,A43,511134706,80,22:20:00,900+0,0:15:00.000,1933,,0.0,19.22222222222222,219.80769230769232,-290.36538461538464,0.5092307692307692,0.8067692307692307,5.5344999999999995,[%emt 10.042] White resigns
FICS rated standard game,FICS freechess.org,2022.03.31,?,jaromsal,loomba,0-1,0:15:00.000,1921,,0.0,A00,511134650,20,22:19:00,900+0,0:15:00.000,2101,,0.0,-23.714285714285715,-32.166666666666664,-317.0,0.38200000000000006,0.6241666666666666,0.3803333333333333,[%emt 2.903] White resigns
FICS rated standard game,FICS freechess.org,2022.03.31,?,loomba,jaromsal,1/2-1/2,0:15:00.000,2105,,0.0,A43,511134642,136,22:07:00,900+0,0:15:00.000,1917,,0.0,41.19565217391305,-31.533333333333335,30.91111111111111,0.7946,1.2553111111111108,1.2448000000000001,[%emt 1.45] Neither player has mating material
FICS rated standard game,FICS freechess.org,2022.03.31,?,Carsidi,exeComp,0-1,0:15:00.000,2754,Yes,0.0,B21,511134494,18,21:47:00,900+5,0:15:00.000,1766,,0.0,-10.285714285714286,-26.666666666666668,-152.2,0.08033333333333333,0.25566666666666665,1.4126,[%emt 50.009] White resigns
FICS rated standard game,FICS freechess.org,2022.03.31,?,AnishaBCA,exeComp,0-1,0:15:00.000,2752,Yes,0.0,B20,511134162,2,21:02:00,900+5,0:15:00.000,2376,,0.0,39.5,0.0,0.0,0.0,0.0,0.0,[%emt 0.0] White forfeits by disconnection
FICS rated standard game,FICS freechess.org,2022.03.31,?,exeComp,AnishaBCA,1-0,0:15:00.000,2387,,0.0,B32,511134156,13,21:00:00,900+5,0:15:00.000,2750,Yes,0.0,29.6,69.25,314.5,1.45875,2.19075,1.80375,[%emt 16.165] Black resigns
FICS rated standard game,FICS freechess.org,2022.03.31,?,AnishaBCA,exeComp,0-1,0:15:00.000,2748,Yes,0.0,A57,511134134,53,20:37:00,900+5,0:15:00.000,2400,,0.0,35.27777777777778,-29.529411764705884,-451.0,0.20876470588235294,4.070882352941176,7.643000000000001,[%emt 30.87] White resigns
FICS rated standard game,FICS freechess.org,2022.03.31,?,ArasanX,Notarious,1/2-1/2,0:15:00.000,2831,Yes,0.0,D31,511134080,36,20:45:00,900+0,0:15:00.000,2770,Yes,0.0,27.384615384615383,38.416666666666664,28.454545454545453,0.11975000000000002,2.3251666666666666,2.908818181818182,[%emt 0.1] Game drawn by repetition
FICS rated standard game,FICS freechess.org,2022.03.31,?,dmgrant,jaromsal,1-0,0:15:00.000,2113,,0.0,A43,511134002,55,20:37:00,900+0,0:15:00.000,2106,,0.0,90.6842105263158,360.55555555555554,746.3333333333334,0.5442777777777779,1.0367777777777778,1.724888888888889,[%emt 5.07] Black resigns
