Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackIsComp,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment,WhiteIsComp
FICS rated standard game,FICS freechess.org,2022.05.31,?,Carsidi,kamenozrout,0-1,0:15:00.000,2183,Yes,45.0,D00,511772159,30,23:49:00,900+0,0:15:00.000,1830,27.8,-51.45454545454545,-52.8,-169.77777777777777,1.1245999999999998,1.4129,3.9892222222222222,[%emt 8.151] White resigns,
FICS rated standard game,FICS freechess.org,2022.05.31,?,Carsidi,exeComp,0-1,0:15:00.000,2679,Yes,42.7,A47,511772131,40,23:30:00,900+5,0:15:00.000,1830,27.9,1.7142857142857142,-43.53846153846154,-236.3846153846154,1.5149999999999997,8.356,5.405153846153847,[%emt 19.568] White resigns,
FICS rated standard game,FICS freechess.org,2022.05.31,?,Notarious,ArasanX,1/2-1/2,0:30:00.000,2766,Yes,32.6,C89,511771871,306,21:00:00,1800+5,0:30:00.000,2840,31.5,26.04854368932039,-0.7156862745098039,-0.019801980198019802,3.967833333333333,2.4474607843137255,0.7505742574257428,[%emt 0.166] Game drawn by mutual agreement,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,hastrman,Achonk,0-1,0:15:00.000,2133,,35.4,D43,511771743,70,21:35:00,900+0,0:15:00.000,2039,28.9,6.291666666666667,-25.434782608695652,-107.38095238095238,1.946304347826087,2.897913043478261,2.94191304347826,[%emt 6.705] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,entrenamiento,damouno,0-1,0:15:00.000,2251,,44.6,A40,511771558,100,20:46:00,900+0,0:15:00.000,1757,29.2,-99.3529411764706,-297.6363636363636,-591.3333333333334,1.2091212121212123,1.843181818181818,1.805848484848485,[%emt 0.1] White resigns,
FICS rated standard game,FICS freechess.org,2022.05.31,?,ArasanX,exeComp,1/2-1/2,0:15:00.000,2677,Yes,42.7,A25,511771502,310,19:54:00,900+5,0:15:00.000,2768,32.7,10.038461538461538,0.18446601941747573,-0.04854368932038835,2.8080000000000016,1.2634854368932038,0.5266990291262137,[%emt 0.1] Game drawn by the 50 move rule,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,damouno,leibek,1-0,0:15:00.000,1855,,30.7,B21,511771475,89,20:21:00,900+0,0:15:00.000,2249,44.7,14.2,34.86206896551724,225.45833333333334,2.6900689655172414,2.025034482758621,2.1067758620689654,[%emt 2.038] Black checkmated,
FICS rated standard game,FICS freechess.org,2022.05.31,?,leibek,damouno,0-1,0:15:00.000,2247,,44.8,A40,511771368,148,19:59:00,900+0,0:15:00.000,1857,30.7,-19.44,-305.85714285714283,-1162.537037037037,1.8631224489795917,2.5633673469387754,0.5479795918367347,[%emt 0.493] White checkmated,
FICS rated standard game,FICS freechess.org,2022.05.31,?,GriffyJr,FloMcDonnell,1-0,0:15:00.000,1940,,66.6,A48,511770938,27,18:40:00,900+0,0:15:00.000,2083,32.7,25.5,11.777777777777779,126.375,0.1945555555555556,0.489,0.546625,[%emt 0.137] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,FloMcDonnell,GriffyJr,1/2-1/2,0:15:00.000,2086,Yes,32.8,A46,511770874,51,18:26:00,900+0,0:15:00.000,1931,70.3,54.77777777777778,193.23529411764707,198.5,0.28382352941176475,0.5044117647058823,0.6353125,[%emt 0.78] Game drawn by repetition,
FICS rated standard game,FICS freechess.org,2022.05.31,?,GriffyJr,FloMcDonnell,0-1,0:15:00.000,1909,,71.5,E90,511770847,60,18:20:00,900+0,0:15:00.000,2098,32.9,44.714285714285715,-69.85,-309.6470588235294,0.24034999999999998,1.44075,1.2755263157894738,[%emt 13.587] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,ArasanX,Notarious,0-1,0:15:00.000,2833,Yes,31.5,C45,511770704,124,17:30:00,900+5,0:15:00.000,2775,32.8,7.809523809523809,-7.634146341463414,-23.317073170731707,2.5488048780487804,3.161829268292683,2.6956097560975607,[%emt 11.987] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,exeComp,Khaleddd,1-0,0:15:00.000,1708,,56.5,B42,511770611,14,17:51:00,900+5,0:15:00.000,2677,42.9,36.6,52.0,85.125,0.11875,0.11699999999999999,0.15250000000000002,[%emt 1.154] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,Achonk,hastrman,1-0,0:15:00.000,2056,Yes,28.9,A00,511770391,79,17:04:00,900+0,0:15:00.000,2127,35.5,-43.925925925925924,450.0769230769231,611.4791666666666,2.273423076923077,2.506923076923077,2.4735384615384612,[%emt 8.773] Black resigns,
FICS rated standard game,FICS freechess.org,2022.05.31,?,Unacelu,pikozrout,1-0,0:15:00.000,2319,Yes,56.8,E00,511770179,87,16:36:00,900+0,0:15:00.000,2677,127.9,78.13333333333334,233.0344827586207,588.7142857142857,1.7924827586206897,2.061034482758621,1.6072142857142862,[%emt 4.657] Black resigns,
FICS rated standard game,FICS freechess.org,2022.05.31,?,pikozrout,Unacelu,0-1,0:15:00.000,2665,,131.5,D00,511770089,86,16:21:00,900+0,0:15:00.000,2321,57.1,-31.551724137931036,-218.35714285714286,-614.4107142857142,1.9361071428571428,2.3728571428571428,2.1801964285714286,[%emt 5.367] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,foggydew,MrVali,1-0,0:15:00.000,1815,,42.8,C44,511769915,39,15:58:00,900+0,0:15:00.000,2189,39.1,34.57142857142857,-3.5384615384615383,-57.333333333333336,1.2232307692307691,3.6826923076923084,2.2255833333333332,[%emt 14.783] Black forfeits by disconnection,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,MrVali,foggydew,0-1,0:15:00.000,2187,Yes,39.2,A40,511769820,62,15:43:00,900+0,0:15:00.000,1817,43.0,-49.61904761904762,58.7,-277.875,1.4296999999999997,2.1529,1.7268749999999997,[%emt 1.452] White resigns,
FICS rated standard game,FICS freechess.org,2022.05.31,?,mcstorytaller,alextheseaman,0-1,0:15:00.000,2059,,24.9,B22,511769672,82,15:20:00,900+0,0:15:00.000,1958,29.7,-18.678571428571427,-198.85185185185185,-69.23809523809524,0.46548148148148155,1.7518518518518518,3.270222222222222,[%emt 1.781] White checkmated,
FICS rated standard game,FICS freechess.org,2022.05.31,?,alextheseaman,mcstorytaller,0-1,0:15:00.000,1947,,29.8,D13,511769556,60,15:07:00,900+0,0:15:00.000,2070,24.9,10.238095238095237,66.65,-282.63157894736844,1.10385,1.4373,2.369263157894737,[%emt 2.985] White resigns,
FICS rated standard game,FICS freechess.org,2022.05.31,?,GriffyJr,family,1-0,0:15:00.000,2071,,41.8,D04,511769553,139,15:13:00,900+0,0:15:00.000,2088,33.0,-44.361702127659576,69.91304347826087,79.76190476190476,0.37673913043478263,0.4813913043478261,0.287,[%emt 0.1] Black checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,Notarious,ArasanX,1/2-1/2,0:15:00.000,2774,Yes,32.8,C65,511769530,117,14:42:00,900+5,0:15:00.000,2834,31.5,9.5,50.43589743589744,11.289473684210526,3.8649743589743584,3.415230769230769,2.619105263157895,[%emt 0.1] Game drawn by repetition,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,mcstorytaller,alextheseaman,1/2-1/2,0:15:00.000,2073,,25.0,B22,511769382,112,14:36:00,900+0,0:15:00.000,1944,29.9,-57.026315789473685,88.67567567567568,-12.513513513513514,1.7771081081081086,2.719891891891892,0.8871081081081079,[%emt 1.425] Game drawn by repetition,
FICS rated standard game,FICS freechess.org,2022.05.31,?,FloMcDonnell,GriffyJr,0-1,0:15:00.000,2083,Yes,33.1,A45,511769242,58,14:38:00,900+0,0:15:00.000,1917,72.7,60.9,208.42105263157896,195.73684210526315,0.25184210526315787,0.30336842105263156,1.8527894736842108,[%emt 0.109] White resigns,
FICS rated standard game,FICS freechess.org,2022.05.31,?,kamenozrout,feligres,0-1,0:15:00.000,2771,Yes,74.0,C84,511769240,68,14:25:00,900+1,0:15:00.000,2184,44.9,-3.782608695652174,-55.31818181818182,-543.25,0.10236363636363638,2.578,2.0595454545454546,[%emt 21.744] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,GriffyJr,FloMcDonnell,1-0,0:15:00.000,1926,,74.0,A48,511769215,27,14:37:00,900+0,0:15:00.000,2078,33.2,19.9,44.888888888888886,134.0,0.23600000000000002,0.32633333333333336,0.256875,[%emt 0.1] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,FloMcDonnell,GriffyJr,1/2-1/2,0:15:00.000,2081,Yes,33.3,A45,511769198,20,14:36:00,900+0,0:15:00.000,1919,75.4,12.857142857142858,31.666666666666668,0.0,0.1525,0.22183333333333333,0.6416666666666666,[%emt 0.1] Game drawn by repetition,
FICS rated standard game,FICS freechess.org,2022.05.31,?,GriffyJr,FloMcDonnell,1-0,0:15:00.000,1929,,76.9,B10,511769192,103,14:27:00,900+0,0:15:00.000,2076,33.4,23.428571428571427,8.411764705882353,406.7352941176471,0.5158235294117647,1.3658529411764706,0.5725882352941177,[%emt 0.1] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,ArasanX,Notarious,1/2-1/2,0:15:00.000,2835,Yes,31.6,C54,511769166,55,14:14:00,900+5,0:15:00.000,2773,32.9,20.736842105263158,31.22222222222222,4.333333333333333,2.9665,2.1377777777777776,1.8655,[%emt 23.395] Game drawn by mutual agreement,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,alextheseaman,mcstorytaller,1/2-1/2,0:15:00.000,1941,,30.0,D82,511769078,65,14:13:00,900+0,0:15:00.000,2076,25.1,-2.5,-17.80952380952381,2.6666666666666665,0.5411904761904762,1.4728095238095238,1.267047619047619,[%emt 3.218] Game drawn by mutual agreement,
FICS rated standard game,FICS freechess.org,2022.05.31,?,Notarious,ArasanX,1/2-1/2,0:15:00.000,2772,Yes,33.1,C65,511768978,119,13:35:00,900+5,0:15:00.000,2836,31.7,6.4,-3.0256410256410255,-0.19230769230769232,4.071974358974359,2.4015897435897435,1.2622051282051279,[%emt 98.478] Game drawn by repetition,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,MrVali,foggydew,0-1,0:15:00.000,2185,Yes,39.2,A53,511768885,98,13:41:00,900+0,0:15:00.000,1819,43.1,30.818181818181817,50.0,-137.4516129032258,1.8133124999999999,2.5795000000000003,2.219015625,[%emt 9.431] White resigns,
FICS rated standard game,FICS freechess.org,2022.05.31,?,novvlad,Notarious,0-1,0:15:00.000,2836,Yes,31.8,A00,511768625,51,13:15:00,900+0,0:15:00.000,1640,33.7,-134.77777777777777,-350.05882352941177,-684.875,2.095117647058824,1.6008823529411766,2.006125,[%emt 4.001] White resigns,
FICS rated standard game,FICS freechess.org,2022.05.31,?,konozrout,feligres,0-1,0:15:00.000,2769,Yes,74.2,C42,511768618,86,13:04:00,900+1,0:15:00.000,2286,39.6,-116.06896551724138,-312.32142857142856,-223.34782608695653,2.1258928571428575,3.8127857142857144,1.412107142857143,[%emt 9.236] White checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.05.31,?,SRCorney,nepalichessteach,0-1,0:15:00.000,2026,,38.1,B21,511768576,47,13:15:00,900+0,0:15:00.000,2002,31.0,-44.9375,-469.73333333333335,-261.3333333333333,1.0212666666666665,2.0425999999999997,2.726833333333333,[%emt 1.412] White resigns,
FICS rated standard game,FICS freechess.org,2022.05.31,?,alextheseaman,blore,1-0,0:15:00.000,1952,,20.3,D02,511768544,73,12:55:00,900+0,0:15:00.000,2071,25.2,18.4,-43.208333333333336,135.08333333333334,0.9866666666666667,1.1013333333333335,7.175791666666666,[%emt 6.598] Black resigns,
