Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackIsComp,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteIsComp,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment
FICS rated standard game,FICS freechess.org,2022.11.30,?,ArasanX,Notarious,1/2-1/2,0:15:00.000,2807,Yes,46.3,C67,513027044,201,23:31:00,900+0,0:15:00.000,2773,Yes,38.8,22.823529411764707,2.6417910447761193,-9.469696969696969,2.6392089552238804,0.9240597014925375,0.4388484848484849,[%emt 0.19] Game drawn by mutual agreement
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1829,,30.2,A00,513026694,33,21:39:00,900+0,0:15:00.000,2428,Yes,89.8,-99.33333333333333,58.45454545454545,129.5,0.3366363636363637,0.61,0.36319999999999997,[%emt 1.314] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2427,Yes,90.1,B00,513026689,24,21:37:00,900+0,0:15:00.000,1830,,30.2,139.88888888888889,59.375,-272.42857142857144,0.28099999999999997,0.532375,0.6497142857142857,[%emt 2.154] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,hastrman,JaiMan,1-0,0:15:00.000,2064,,24.4,C22,513026683,131,21:18:00,900+0,0:15:00.000,2010,Yes,23.2,44.25,-144.7674418604651,325.17857142857144,1.9236511627906976,1.4015348837209303,0.7257093023255814,[%emt 1.534] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1831,,30.2,D00,513026680,31,21:37:00,900+0,0:15:00.000,2425,Yes,90.5,-35.36363636363637,-35.5,514.0,0.3015,0.2857,0.3357,[%emt 0.1] Black checkmated
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2423,Yes,90.9,B00,513026678,44,21:35:00,900+0,0:15:00.000,1832,,30.3,39.06666666666667,-197.5,-595.1428571428571,0.42914285714285716,0.3757857142857142,0.3945357142857143,[%emt 1.78] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1833,,30.3,A00,513026668,35,21:33:00,900+0,0:15:00.000,2421,Yes,91.3,-68.75,26.636363636363637,437.6818181818182,0.28672727272727266,0.5191818181818181,0.2805909090909091,[%emt 1.17] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2419,Yes,91.7,D00,513026659,38,21:31:00,900+0,0:15:00.000,1834,,30.3,-6.769230769230769,-47.0,-509.41666666666663,0.494,0.594,0.8123750000000001,[%emt 1.218] White resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,IFDStock,Aromas,1-0,0:15:00.000,1835,,30.3,A00,513026650,25,21:29:00,900+0,0:15:00.000,2417,Yes,92.1,-57.44444444444444,-72.125,147.5,0.101125,0.235125,0.97075,[%emt 1.149] Black resigns
FICS rated standard game,FICS freechess.org,2022.11.30,?,Aromas,IFDStock,0-1,0:15:00.000,2415,Yes,92.5,A17,513026644,34,21:28:00,900+0,0:15:00.000,1836,,30.3,-0.08333333333333333,-89.72727272727273,-408.44444444444446,0.46409090909090905,0.5583636363636363,0.5688181818181818,[%emt 1.099] White resigns
