Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackIsComp,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment,WhiteIsComp
FICS rated standard game,FICS freechess.org,2022.09.30,?,pkrout,exeComp,0-1,0:15:00.000,2698,Yes,40.1,B50,512620250,28,23:41:00,900+5,0:15:00.000,1736,32.1,1.5,-95.33333333333333,-466.7142857142857,2.6536666666666666,6.953666666666667,6.332555555555556,[%emt 0.239] White forfeits by disconnection,
FICS rated standard game,FICS freechess.org,2022.09.30,?,exeComp,pkrout,1-0,0:15:00.000,1736,,32.1,D02,512620218,44,23:22:00,900+5,0:15:00.000,2698,40.1,55.4,293.07142857142856,606.2142857142858,0.9523571428571429,3.7800000000000007,3.859142857142857,[%emt 17.077] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.09.30,?,blore,chessloon,0-1,0:15:00.000,2405,,62.3,B33,512620195,74,23:03:00,900+0,0:15:00.000,2047,22.5,88.48,51.0,-212.85714285714286,2.193208333333333,3.065375,2.6208750000000003,[%emt 13.983] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,joddle,Technetium,0-1,0:15:00.000,2529,,85.8,A40,512620107,100,22:42:00,900+0,0:15:00.000,2336,81.9,139.2941176470588,-35.93939393939394,-201.27272727272728,1.0688484848484845,3.8545454545454545,0.5557878787878788,[%emt 4.324] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,blore,karadepau,0-1,0:15:00.000,2254,,92.7,C82,512620035,74,22:09:00,900+0,0:15:00.000,2066,22.5,40.16,-290.875,-582.5833333333334,0.9260416666666668,8.236625,1.8315208333333335,[%emt 18.229] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,joddle,blore,1-0,0:15:00.000,2069,,22.6,A52,512619923,51,21:38:00,900+0,0:15:00.000,2329,83.6,70.11111111111111,186.47058823529412,254.0,2.060764705882353,7.138117647058824,4.00125,[%emt 16.177] Black resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,blore,joddle,0-1,0:15:00.000,2321,,85.0,C91,512619841,94,21:19:00,900+0,0:15:00.000,2072,22.6,25.625,-225.58064516129033,-547.2903225806451,0.7083548387096773,6.859935483870968,1.3172258064516127,[%emt 0.651] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,joddle,Slek,1-0,0:15:00.000,2117,,41.6,A61,512619749,25,21:06:00,900+0,0:15:00.000,2310,86.7,60.22222222222222,68.5,193.625,0.35,0.352625,8.98225,[%emt 5.576] Black resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,blore,Slek,0-1,0:15:00.000,2110,,41.8,C44,512619708,32,20:49:00,900+0,0:15:00.000,2078,22.7,-6.7272727272727275,-175.3,-1322.25,0.41180000000000005,4.583,1.77065,[%emt 2.786] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Aromas,IFDThor,0-1,0:15:00.000,2203,Yes,33.9,B21,512619688,72,20:52:00,900+0,0:15:00.000,1865,33.1,-141.72,-373.8333333333333,-433.30434782608694,0.3072083333333333,0.47112499999999996,1.2162173913043481,[%emt 0.1] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Aromas,IFDThor,0-1,0:15:00.000,2201,Yes,34.0,D11,512619671,44,20:50:00,900+0,0:15:00.000,1867,33.1,7.733333333333333,-53.642857142857146,-555.9642857142858,0.2704285714285714,0.30249999999999994,0.28878571428571426,[%emt 0.1] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Aromas,IFDThor,0-1,0:15:00.000,2199,Yes,34.1,B10,512619666,74,20:45:00,900+0,0:15:00.000,1869,33.2,157.52,212.375,161.97619047619048,0.2791666666666667,0.677625,1.9749583333333334,[%emt 0.1] White checkmated,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Aromas,IFDThor,0-1,0:15:00.000,2197,Yes,34.2,B21,512619648,38,20:43:00,900+0,0:15:00.000,1871,33.3,-49.61538461538461,-101.66666666666667,-682.4166666666666,0.3380833333333333,0.25291666666666673,0.5593333333333332,[%emt 0.1] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Aromas,IFDThor,0-1,0:15:00.000,2195,Yes,34.2,B20,512619638,50,20:41:00,900+0,0:15:00.000,1873,33.3,-32.8235294117647,-42.25,-492.78125,0.29856249999999995,0.455125,0.6169374999999999,[%emt 0.1] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Aromas,IFDThor,1-0,0:15:00.000,2209,Yes,34.3,B07,512619625,89,20:37:00,900+0,0:15:00.000,1859,33.4,35.7,-120.65517241379311,748.1293103448276,0.3585862068965517,0.3223103448275862,0.24424137931034479,[%emt 0.881] Black resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Aromas,IFDThor,0-1,0:15:00.000,2207,Yes,34.4,B10,512619614,116,20:33:00,900+0,0:15:00.000,1861,33.5,-27.743589743589745,-30.236842105263158,-146.87142857142857,0.2881052631578947,0.4361842105263158,0.5086447368421052,[%emt 0.1] White checkmated,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Notarious,pikozrout,1-0,0:15:00.000,2214,Yes,52.4,B33,512619599,51,20:24:00,900+0,0:15:00.000,2826,49.2,30.88888888888889,104.76470588235294,456.9230769230769,0.13858823529411768,2.485176470588235,3.2679375,[%emt 0.1] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.09.30,?,Aromas,IFDThor,0-1,0:15:00.000,2205,Yes,34.4,B15,512619598,30,20:32:00,900+0,0:15:00.000,1863,33.5,4.7272727272727275,-86.1,-277.8888888888889,0.1427,0.18580000000000002,0.31722222222222224,[%emt 0.1] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Aromas,IFDThor,0-1,0:15:00.000,2203,Yes,34.5,E00,512619594,42,20:31:00,900+0,0:15:00.000,1865,33.6,38.266666666666666,-0.7857142857142857,-542.0769230769231,0.27621428571428575,0.312,0.6063076923076923,[%emt 0.1] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Aromas,IFDThor,0-1,0:15:00.000,2201,Yes,34.6,B21,512619588,26,20:30:00,900+0,0:15:00.000,1867,33.7,-26.77777777777778,-205.25,-541.25,0.326625,0.101875,0.504625,[%emt 0.1] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Aromas,IFDThor,0-1,0:15:00.000,2199,Yes,34.7,B10,512619586,50,20:28:00,900+0,0:15:00.000,1869,33.7,71.29411764705883,-30.5625,-576.21875,0.1889375,0.35662499999999997,0.684375,[%emt 0.1] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,pikozrout,GoldBarMM,0-1,0:15:00.000,2833,Yes,67.6,B41,512619243,120,18:36:00,900+1,0:15:00.000,2214,52.5,-12.634146341463415,-50.125,-515.4358974358975,1.8709249999999997,2.7539000000000002,2.5781794871794874,[%emt 6.624] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.09.30,?,GoldBarMM,pikozrout,1-0,0:15:00.000,2214,Yes,52.5,B01,512619117,55,18:21:00,900+1,0:15:00.000,2832,67.7,44.578947368421055,58.27777777777778,541.8125,1.5228888888888887,4.512166666666667,2.935777777777778,[%emt 9.747] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.09.30,?,GriffySr,family,1/2-1/2,0:15:00.000,1992,,50.5,C00,512618786,174,17:23:00,900+0,0:15:00.000,2145,40.6,-17.372881355932204,-75.12068965517241,-112.52631578947368,1.2302241379310344,0.6155344827586207,0.3247719298245613,[%emt 3.378] Neither player has mating material,Yes
FICS rated standard game,FICS freechess.org,2022.09.30,?,carmelovita,Notarious,0-1,0:15:00.000,2826,Yes,49.2,D05,512618492,52,16:40:00,900+5,0:15:00.000,1509,30.4,-4.333333333333333,-143.2941176470588,-643.2307692307693,1.1394117647058821,3.200705882352941,3.3773529411764702,[%emt 0.628] White checkmated,
FICS rated standard game,FICS freechess.org,2022.09.30,?,feligres,PigeonEngine,1-0,0:15:00.000,2249,Yes,252.4,D85,512618384,95,16:17:00,900+1,0:15:00.000,2786,90.3,126.0625,447.61290322580646,339.09375,2.1972903225806446,3.0708064516129037,1.3198548387096773,[%emt 8.202] Black checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.09.30,?,MichailovA,Saili,1-0,0:15:00.000,1925,,44.8,D06,512618216,111,15:59:00,900+0,0:15:00.000,2096,79.4,123.23684210526316,40.16216216216216,538.3055555555555,2.028405405405405,1.249972972972973,0.7657222222222224,[%emt 1.671] Black resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,PigeonEngine,feligres,0-1,0:15:00.000,2782,Yes,90.8,B33,512618208,44,16:06:00,900+1,0:15:00.000,2271,264.7,32.333333333333336,-36.92857142857143,-100.2,0.10335714285714286,1.0720714285714286,1.1471785714285716,[%emt 46.37] White checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.09.30,?,pikozrout,FraLav,1-0,0:15:00.000,1842,,42.5,B15,512618091,85,15:41:00,900+0,0:15:00.000,2212,52.6,41.241379310344826,221.75,609.3214285714286,2.8073214285714285,2.0282857142857145,2.205285714285714,[%emt 18.54] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.09.30,?,carmelovita,Notarious,0-1,0:15:00.000,2826,Yes,49.2,A47,512617936,54,15:27:00,900+5,0:15:00.000,1513,30.6,-7.368421052631579,-266.77777777777777,-706.8461538461538,0.9463333333333332,3.6294444444444443,3.0754117647058825,[%emt 0.526] White checkmated,
FICS rated standard game,FICS freechess.org,2022.09.30,?,SRCorney,Technetium,0-1,0:15:00.000,2527,,87.7,A40,512617575,48,14:34:00,900+0,0:15:00.000,1984,36.5,81.58823529411765,-53.3125,-528.5333333333333,0.5906875,2.8645,4.7867999999999995,[%emt 3.701] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,SRCorney,blore,1/2-1/2,0:15:00.000,2079,,22.7,A02,512617421,154,13:46:00,900+0,0:15:00.000,1982,36.5,74.28846153846153,51.21568627450981,4.686274509803922,2.983039215686275,1.786607843137255,0.7680784313725489,[%emt 0.1] Game drawn by repetition,
FICS rated standard game,FICS freechess.org,2022.09.30,?,blore,SRCorney,1-0,0:15:00.000,1988,,36.7,B10,512617218,63,13:29:00,900+0,0:15:00.000,2073,22.7,30.772727272727273,162.28571428571428,246.88888888888889,1.8531428571428574,3.618761904761904,2.6094,[%emt 7.89] Black checkmated,
FICS rated standard game,FICS freechess.org,2022.09.30,?,CeruleanJS,gerichan,1-0,0:10:00.000,2080,,35.5,A20,512617204,4,13:41:00,600+20,0:10:00.000,2021,103.4,5.0,17.0,50.0,0.0,0.0,0.1,[%emt 17.391] Black forfeits by disconnection,Yes
FICS rated standard game,FICS freechess.org,2022.09.30,?,meroramadan,MichailovA,0-1,0:20:00.000,2084,,81.1,C24,512616578,98,11:19:00,1200+30,0:20:00.000,1955,35.5,124.3030303030303,-195.15625,-328.1,2.8016875,8.8640625,2.20609375,[%emt 2.277] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,SRCorney,blore,0-1,0:15:00.000,2061,,22.8,A02,512616551,106,11:40:00,900+0,0:15:00.000,1995,36.9,134.47222222222223,217.74285714285713,-394.37142857142857,3.376542857142857,2.6237142857142857,1.3385428571428575,[%emt 2.157] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Floerkeli,hastrman,1-0,0:15:00.000,2008,Yes,28.8,A29,512615999,65,10:20:00,900+0,0:15:00.000,2003,36.0,34.45454545454545,309.0,259.55,0.5459047619047619,2.9872380952380952,1.9760952380952383,[%emt 6.73] Black checkmated,
FICS rated standard game,FICS freechess.org,2022.09.30,?,gerichan,IFDThor,0-1,1:30:00.000,2193,Yes,34.4,B12,512615675,52,09:24:00,5400+90,1:30:00.000,2086,35.6,103.88888888888889,119.3529411764706,6.882352941176471,0.6810588235294118,0.9719411764705882,2.951470588235294,[%emt 0.1] White forfeits by disconnection,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Notarious,pkrout,1-0,0:15:00.000,1737,,31.7,C46,512615672,41,09:17:00,900+5,0:15:00.000,2826,49.1,67.64285714285714,231.76923076923077,267.6666666666667,1.851076923076923,3.467230769230769,1.6428076923076922,[%emt 0.519] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.09.30,?,pkrout,Notarious,0-1,0:15:00.000,2826,Yes,49.1,C54,512615586,62,08:53:00,900+5,0:15:00.000,1737,31.7,9.619047619047619,-357.85,-625.45,4.98475,4.027499999999999,5.0504999999999995,[%emt 0.1] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,blore,KnightMeKing,0-1,0:15:00.000,1962,,29.9,B07,512615427,146,08:23:00,900+0,0:15:00.000,2074,22.8,64.42857142857143,-84.41666666666667,-1204.712765957447,0.8524166666666667,1.2331041666666664,0.6132604166666666,[%emt 3.684] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Notarious,Portip,1-0,0:15:00.000,1590,,39.8,E00,512615331,51,08:05:00,900+5,0:15:00.000,2826,49.1,101.61111111111111,593.0588235294117,745.25,2.8234117647058823,3.894941176470588,2.9920625,[%emt 0.1] Black checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.09.30,?,konozrout,feligres,0-1,0:15:00.000,2780,Yes,91.4,A20,512615235,68,07:39:00,900+1,0:15:00.000,2219,46.4,22.434782608695652,2.8181818181818183,-106.59375,0.09477272727272729,4.24390909090909,1.9629772727272727,[%emt 17.995] White resigns,Yes
FICS rated standard game,FICS freechess.org,2022.09.30,?,cofail,exeComp,0-1,0:15:00.000,2698,Yes,39.7,B33,512615212,63,07:24:00,900+5,0:15:00.000,1912,189.6,31.772727272727273,-62.38095238095238,-410.1,4.892476190476191,4.777904761904763,3.27175,[%emt 6.487] White resigns,
FICS rated standard game,FICS freechess.org,2022.09.30,?,Notarious,jxk,1-0,0:15:00.000,1393,,174.7,B23,512615180,7,07:44:00,900+5,0:15:00.000,2826,49.1,27.0,84.5,444.0,0.0,0.0615,0.889,[%emt 49.796] Black forfeits by disconnection,Yes
